"pressure","velocity:0","velocity:1","velocity:2","h","nu","lm","u","pressureactual","velocitystagered:0","velocitystagered:1","velocitystagered:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.5e-05,1.1227,0.000284,0,0.26172,0.001144,0.023615,0.048437,-0.002311,1.1225,1.1225,1.1225,1,0.74,16,0.74,0
3.1e-05,1.106,0.000444,0,0.25391,0.001183,0.023615,0.050077,-0.002477,1.1059,1.1059,1.1059,1,0.75,16,0.75,0
2.3e-05,1.08,0.000692,0,0.24219,0.001238,0.023615,0.052441,-0.002727,1.0798,1.0798,1.0798,1,0.76,16,0.76,0
1.5e-05,1.0528,0.000951,0,0.23047,0.001292,0.023615,0.054693,-0.002976,1.0526,1.0526,1.0526,1,0.77,16,0.77,0
1e-05,1.034,0.001129,0,0.22266,0.001326,0.023615,0.056131,-0.003141,1.0338,1.0338,1.0338,1,0.78,16,0.78,0
1e-06,1.0048,0.001404,0,0.21094,0.001374,0.023615,0.058198,-0.003386,1.0046,1.0046,1.0046,1,0.79,16,0.79,0
-6e-06,0.98479,0.001592,0,0.20312,0.001405,0.023615,0.059516,-0.003548,0.9846,0.9846,0.9846,1,0.8,16,0.8,0
-1.6e-05,0.95387,0.001881,0,0.19141,0.00145,0.023615,0.061404,-0.003786,0.95368,0.95368,0.95368,1,0.81,16,0.81,0
-2.3e-05,0.93271,0.002078,0,0.18359,0.001478,0.023615,0.062605,-0.003942,0.93251,0.93251,0.93251,1,0.82,16,0.82,0
-3.4e-05,0.90016,0.00238,0,0.17188,0.001519,0.023615,0.064321,-0.004171,0.89995,0.89995,0.89995,1,0.83,16,0.83,0
-4.5e-05,0.86669,0.00269,0,0.16016,0.001557,0.023615,0.065936,-0.004393,0.86648,0.86648,0.86648,1,0.84,16,0.84,0
-5.3e-05,0.84389,0.002901,0,0.15234,0.001581,0.023615,0.066958,-0.004537,0.84367,0.84367,0.84367,1,0.85,16,0.85,0
-6.6e-05,0.80898,0.003225,0,0.14062,0.001616,0.023615,0.068411,-0.004746,0.80876,0.80876,0.80876,1,0.86,16,0.86,0
-7.4e-05,0.78525,0.003446,0,0.13281,0.001637,0.023615,0.069327,-0.004881,0.78503,0.78503,0.78503,1,0.87,16,0.87,0
-8.7e-05,0.74902,0.003783,0,0.12109,0.001668,0.023615,0.070623,-0.005075,0.74879,0.74879,0.74879,1,0.88,16,0.88,0
-9.6e-05,0.72445,0.004012,0,0.11328,0.001687,0.023615,0.071437,-0.005199,0.72422,0.72422,0.72422,1,0.89,16,0.89,0
-0.000108,0.68699,0.004358,0,0.10156,0.001714,0.023615,0.072584,-0.005377,0.68676,0.68676,0.68676,1,0.9,16,0.9,0
-0.000116,0.66163,0.004589,0,0.09375,0.001731,0.023615,0.073303,-0.005489,0.6614,0.6614,0.6614,1,0.91,16,0.91,0
-0.000124,0.62304,0.004932,0,0.082031,0.001755,0.023615,0.074326,-0.005648,0.62281,0.62281,0.62281,1,0.92,16,0.92,0
-0.000126,0.58377,0.005271,0,0.070312,0.001779,0.023615,0.075342,-0.005803,0.58354,0.58354,0.58354,1,0.93,16,0.93,0
-0.000126,0.55719,0.005507,0,0.0625,0.001795,0.023615,0.076005,-0.005903,0.55695,0.55695,0.55695,1,0.94,16,0.94,0
-0.000136,0.51532,0.005896,0,0.050781,0.001601,0.02082,0.076917,-0.006053,0.51504,0.51504,0.51504,1,0.95,16,0.95,0
-0.000147,0.48219,0.006182,0,0.042969,0.00136,0.017617,0.077202,-0.006108,0.48191,0.48191,0.48191,1,0.96,16,0.96,0
-0.000113,0.41943,0.006425,0,0.03125,0.00099,0.012812,0.077277,-0.006085,0.41948,0.41948,0.41948,1,0.97,16,0.97,0
5.3e-05,0.36362,0.006012,0,0.023438,0.000738,0.009609,0.076825,-0.005849,0.36448,0.36448,0.36448,1,0.98,16,0.98,0
0.000965,0.23575,0.00306,0,0.011719,0.000351,0.004805,0.072952,-0.004357,0.23883,0.23883,0.23883,1,0.99,16,0.99,0
0.001946,0.07093,0.000386,0,0.003906,7.8e-05,0.001602,0.048912,-0.000447,0.072476,0.072476,0.072476,1,1,16,1,0
